 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
82 115 126.6347 459.015 349.55172744 69.303370915 -8.5874 0.2523 2722.369 632.4023 3.19 5.18 350.4967 349.55172739999995 69.3033709 11.48111629486084 9.951586723327637 8.7898530960083 1.5295295715332031 2.691263198852539 1.161733627319336
83 116 434.2654 456.2128 343.13029989 60.953603351999995 -9.2522 0.1382 5021.85 639.0245 1.704 1.17 327.735 343.1302999 60.9536034 7.6968464851379395 7.32033634185791 6.808966159820557 0.3765101432800293 0.8878803253173828 0.5113701820373535
84 117 379.9538 455.081 343.90939818 62.454037748999994 -10.3175 0.0521 13396.45 642.31 1.6340000000000001 1.45 347.3264 343.9093982 62.4540377 6.811227798461914 5.71561336517334 4.743594646453857 1.0956144332885742 2.0676331520080566 0.9720187187194824
85 118 248.5167 457.4833 346.53135605 66.034151883 -7.3694 0.7455 886.6445 608.6575 7.0 1.63 354.3208 346.53135610000004 66.0341519 10.824079513549805 10.356433868408203 9.763360977172852 0.46764564514160156 1.0607185363769531 0.5930728912353516
86 119 485.8869 457.0169 342.4337485 59.53806468 -7.5393 0.6624 1036.83 632.4023 1.247 0.96 357.1154 342.4337485 59.5380647 10.769453048706055 7.802592754364014 6.414541244506836 2.966860294342041 4.354911804199219 1.3880515098571777
87 120 480.7949 455.4593 342.38277477 59.671834791 -7.9515 0.4672 1515.71 652.0672 1.5490000000000002 4.88 356.2482 342.3827748 59.6718348 10.769453048706055 7.802592754364014 6.414541244506836 2.966860294342041 4.354911804199219 1.3880515098571777
88 121 238.2941 -173.9641 348.8522569 68.728214297 -7.694 0.5744 1195.683 632.4023 3.5010000000000003 1.04 352.3104 348.8522569 68.72821429999999 10.152445793151855 8.840048789978027 7.73579216003418 1.3123970031738281 2.416653633117676 1.1042566299438477
89 123 500.0782 467.9996 342.81177229 59.063375097 -8.3599 0.3143 2207.819 639.0245 0.648 1.51 360.9282 342.81177230000003 59.0633751 7.37075138092041 6.994900703430176 6.476803302764893 0.3758506774902344 0.8939480781555176 0.5180974006652832
90 124 450.5166 441.1006 342.63086527 60.04303538600001 -8.7853 0.2102 3266.8509999999997 632.4023 5.797000000000001 1.05 332.2689 342.6308653 60.043035399999994 9.455890655517578 8.518803596496582 7.592857360839844 0.9370870590209961 1.8630332946777344 0.9259462356567383
91 125 381.7942 454.5544 343.85353741 62.331151876999996 -9.1335 0.1501 4501.746 622.3369 3.1210000000000004 4.65 345.9375 343.8535374 62.331151899999995 6.811227798461914 5.71561336517334 4.743594646453857 1.0956144332885742 2.0676331520080566 0.9720187187194824
